Unnamed: 0,prev_line,hero_pos,hero_holding,correct_decision,num_players,num_bets,available_moves,pot_size
18,UTG/2.0bb/CO/call/BTN/call/BB/14.0bb/UTG/29.0bb/CO/fold/BTN/fold/BB/allin,UTG,AhAc,call,4,4,"['call', 'fold']",133.5
19,UTG/2.0bb/CO/call/SB/call/BB/14.0bb/UTG/call/CO/fold/SB/allin,BB,AhAd,call,4,3,"['call', 'fold']",130.0
20,UTG/2.0bb/CO/call/SB/call/BB/14.0bb/UTG/28.0bb/CO/fold/SB/allin/BB/fold,UTG,AdQc,fold,4,4,"['call', 'fold']",144.0
21,UTG/2.0bb/BTN/call,BB,KhQs,14.0bb,3,1,"['14.0bb', 'fold']",5.5
22,UTG/2.0bb/HJ/6.5bb/BTN/14.0bb/SB/26.0bb,BB,Tc9h,fold,5,4,"['allin', 'fold']",49.5
23,HJ/2.0bb/SB/11.0bb/BB/call,HJ,ThTd,fold,3,2,"['allin', 'fold']",24.0
24,HJ/2.0bb/CO/call/SB/allin,HJ,7h7c,fold,3,2,"['call', 'fold']",105.0
25,UTG/2.0bb/CO/call/BTN/9.5bb/SB/23.0bb/BB/call/UTG/fold,CO,AhQh,fold,5,3,['fold'],59.5
26,HJ/2.0bb/BTN/call/SB/13.0bb/BB/25.0bb/HJ/allin,BTN,KdTd,fold,4,4,['fold'],140.0
27,HJ/2.0bb/CO/6.5bb/BTN/13.1bb/BB/allin,HJ,9d7d,fold,4,4,"['call', 'fold']",122.1
28,HJ/2.0bb,BB,5h5d,call,2,1,"['call', '12.3bb', 'fold']",3.5
29,HJ/2.0bb/CO/call/SB/call/BB/15.0bb/HJ/call,CO,JsTs,fold,4,2,['fold'],34.0
30,HJ/2.0bb/BTN/call/SB/13.0bb/BB/25.0bb/HJ/call/BTN/fold,SB,KdQc,fold,4,3,"['allin', 'fold']",65.0
31,UTG/2.0bb/BTN/call/SB/13.0bb/BB/call/UTG/fold/BTN/allin,SB,AsAh,call,4,3,"['call', 'fold']",128.0
32,,CO,AcJs,2.3bb,1,0,"['2.3bb', 'fold']",1.5
33,HJ/2.0bb/CO/call/BTN/call/SB/call/BB/16.0bb/HJ/call/CO/call/BTN/allin/SB/fold/BB/fold,HJ,AsAd,call,5,3,"['call', 'fold']",150.0
34,HJ/2.0bb/CO/6.5bb/BTN/13.1bb/HJ/fold/CO/28.5bb,BTN,QsQh,call,3,4,"['allin', 'call', 'fold']",45.1
35,UTG/2.0bb/SB/call/BB/11.0bb/UTG/call/SB/allin,BB,AdAc,call,3,3,"['call', 'fold']",122.0
36,UTG/2.0bb/CO/call/BTN/9.5bb/SB/23.0bb/BB/allin/UTG/fold,CO,Ac9c,fold,5,4,['fold'],136.5
37,UTG/2.0bb/HJ/6.5bb/CO/allin,UTG,Kh5h,fold,3,3,"['call', 'fold']",110.0
38,BTN/2.5bb,SB,8s8c,12.0bb,2,1,"['12.0bb', 'fold']",4.0
39,HJ/2.0bb/SB/call/BB/11.0bb/HJ/22.0bb/SB/call/BB/allin,HJ,KhKc,call,3,4,"['call', 'fold']",144.0
40,BTN/2.5bb/SB/call,BB,As2s,fold,3,1,"['11.0bb', 'fold']",6.0
41,CO/2.3bb/BTN/call/BB/14.0bb/CO/31.0bb/BTN/allin/BB/fold,CO,QsQc,call,3,4,"['call', 'fold']",145.5
42,CO/2.3bb/BTN/call/SB/call/BB/14.0bb/CO/31.0bb/BTN/call,SB,As3s,fold,4,3,['fold'],78.3
43,UTG/2.0bb/HJ/6.5bb/SB/allin/UTG/fold,HJ,AdAc,call,3,3,"['call', 'fold']",109.5
44,SB/3.0bb,BB,KsQh,call,2,1,"['call', '10.0bb', 'fold']",4.0
45,HJ/2.0bb/CO/call/BTN/call/SB/call/BB/16.0bb/HJ/call/CO/fold/BTN/call/SB/allin,BB,AsAc,call,5,3,"['call', 'fold']",150.0
46,HJ/2.0bb/CO/call/BTN/call/SB/15.0bb/BB/call/HJ/call/CO/call/BTN/allin,SB,6s5s,fold,5,3,"['call', 'fold']",160.0
47,BTN/2.5bb/SB/call/BB/11.0bb/BTN/call/SB/allin,BB,Jh9d,fold,3,3,"['call', 'fold']",122.0
48,UTG/2.0bb/HJ/6.5bb/CO/allin,SB,KhKc,call,4,3,"['call', 'fold']",110.0
49,HJ/2.0bb/BTN/call/BB/13.5bb/HJ/call,BTN,4h4d,fold,3,2,['fold'],29.5
50,CO/2.3bb/BTN/call/SB/call/BB/14.0bb/CO/fold/BTN/fold/SB/allin,BB,KdJd,call,4,3,"['call', 'fold']",118.6
51,HJ/2.0bb/CO/call/BTN/9.5bb,SB,9d8d,fold,4,2,"['allin', '24.1bb', 'fold']",15.0
52,UTG/2.0bb/HJ/6.5bb/CO/14.0bb/BTN/25.0bb/UTG/fold,HJ,AhKc,fold,4,4,"['allin', 'fold']",49.0
53,HJ/2.0bb/CO/call/BTN/call/SB/15.0bb/BB/30.1bb/HJ/call/CO/call/BTN/allin,SB,AsAh,call,5,4,"['call', 'fold']",205.3
54,UTG/2.0bb/BTN/call/SB/13.0bb/BB/25.0bb/UTG/allin,BTN,JcTc,fold,4,4,['fold'],140.0
55,UTG/2.0bb/BTN/call/SB/13.0bb,UTG,AsQs,call,3,2,"['24.0bb', 'allin', 'call', 'fold']",18.0
56,HJ/2.0bb/CO/call/BTN/9.5bb/SB/allin,HJ,AhTc,fold,4,3,"['call', 'fold']",114.5
57,CO/2.3bb/BTN/7.5bb/CO/21.0bb/BTN/allin,CO,KhKc,call,2,4,"['call', 'fold']",122.5
58,SB/allin,BB,JdJc,call,2,1,"['call', 'fold']",101.0
59,UTG/2.0bb/SB/10.0bb/UTG/19.0bb,SB,KhQh,fold,2,3,"['40.0bb', 'call', 'fold']",30.0
60,HJ/2.0bb/CO/call/BTN/9.5bb/BB/24.3bb/HJ/call/CO/allin/BTN/fold,BB,AcJc,fold,4,4,"['call', 'fold']",158.6
61,UTG/2.0bb/SB/call/BB/11.0bb,UTG,KsKc,21.0bb,3,2,"['21.0bb', 'call', 'fold']",15.0
62,HJ/2.0bb/BTN/7.5bb/SB/21.0bb,HJ,QhJc,fold,3,3,"['allin', 'fold']",31.5
63,HJ/2.0bb/CO/call/SB/call/BB/15.0bb/HJ/29.2bb/CO/fold/SB/allin,BB,AhAd,call,4,4,"['call', 'fold']",146.2
64,UTG/2.0bb/CO/call/BTN/allin,BB,3c2c,fold,4,2,"['call', 'fold']",105.5
65,CO/2.3bb/BTN/call/SB/call/BB/allin/CO/fold,BTN,KdJd,fold,4,2,['fold'],106.9
66,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/34.0bb/CO/fold,BTN,9h9c,fold,5,3,['fold'],55.0
67,UTG/2.0bb/CO/6.5bb/SB/18.0bb/BB/33.0bb,UTG,Kd7d,fold,4,4,"['allin', 'fold']",59.5
68,UTG/2.0bb/CO/call/SB/call/BB/14.0bb/UTG/fold/CO/call/SB/allin,BB,AcQs,call,4,3,"['call', 'fold']",130.0
69,HJ/2.0bb,BB,5c3c,call,2,1,"['call', '12.3bb', 'fold']",3.5
70,HJ/2.0bb/CO/call/BB/13.5bb/HJ/28.0bb/CO/call/BB/allin,HJ,AhAc,call,3,4,"['call', 'fold']",156.5
71,UTG/2.0bb/CO/call/BTN/9.5bb/UTG/fold/CO/25.0bb,BTN,KdJd,call,3,3,"['allin', 'call', 'fold']",38.0
72,HJ/2.0bb/CO/call/BTN/call/SB/15.0bb/BB/call/HJ/call/CO/fold,BTN,AdQc,fold,5,2,['fold'],49.0
73,HJ/2.0bb/CO/6.5bb/BTN/call/SB/allin/HJ/fold/CO/fold,BTN,TsTh,fold,4,3,['fold'],116.0
74,BTN/2.5bb/SB/12.0bb,BTN,Kc9d,fold,2,2,"['allin', '26.0bb', 'call', 'fold']",15.5
75,HJ/2.0bb/CO/call/SB/call/BB/15.0bb/HJ/fold,CO,TsTc,fold,4,2,['fold'],21.0
76,HJ/2.0bb/CO/6.5bb/BTN/13.1bb/SB/25.2bb/HJ/call/CO/fold/BTN/allin,SB,AsAc,fold,4,5,['fold'],157.9
77,UTG/2.0bb/CO/6.5bb/BTN/13.0bb/UTG/fold,CO,AsJs,fold,3,3,"['31.0bb', 'allin', 'call', 'fold']",23.0
78,UTG/2.0bb/CO/call/BTN/call/SB/15.0bb/UTG/29.0bb/CO/fold/BTN/allin,SB,KsKc,call,4,4,"['call', 'fold']",147.0
79,UTG/2.0bb/HJ/6.5bb/CO/14.0bb/BTN/allin,SB,Qh3h,fold,5,4,"['call', 'fold']",124.0
80,CO/2.3bb/BTN/allin,CO,AdKh,call,2,2,"['call', 'fold']",103.8
81,HJ/2.0bb/BB/12.3bb,HJ,QsQc,call,2,2,"['allin', '24.9bb', 'call', 'fold']",14.8
82,HJ/2.0bb/BTN/call/BB/13.5bb/HJ/allin/BTN/fold,BB,6d6c,fold,3,3,"['call', 'fold']",116.0
83,UTG/2.0bb/HJ/6.5bb/BTN/allin,BB,KsTc,fold,4,3,"['call', 'fold']",110.0
84,HJ/2.0bb/CO/call/BTN/call/SB/call/BB/16.0bb/HJ/allin/CO/fold/BTN/fold/SB/fold,BB,JhJc,call,5,3,"['call', 'fold']",122.0
85,UTG/2.0bb/CO/call/BTN/9.5bb/UTG/call/CO/allin,BTN,Ah8h,fold,3,3,"['call', 'fold']",120.5
86,HJ/2.0bb/CO/call/BTN/9.5bb/SB/24.1bb/BB/allin/HJ/fold/CO/fold,BTN,KsKd,call,5,4,"['call', 'fold']",137.6
87,HJ/2.0bb/CO/6.5bb/SB/17.5bb/HJ/33.7bb/CO/fold,SB,QsQc,call,3,4,"['allin', 'call', 'fold']",58.7
88,CO/2.3bb/BTN/call/SB/call/BB/allin/CO/fold,BTN,JcTc,fold,4,2,['fold'],106.9
89,UTG/2.0bb/HJ/6.5bb/SB/20.0bb/UTG/33.0bb/HJ/allin/SB/fold,UTG,AsAc,call,3,5,"['call', 'fold']",154.0
90,HJ/2.0bb/CO/call/BTN/call/SB/call/BB/16.0bb/HJ/call/CO/fold/BTN/call,SB,KdQh,fold,5,2,['fold'],52.0
91,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/34.0bb,CO,Td9d,fold,5,3,['fold'],55.0
92,UTG/2.0bb/SB/call/BB/11.0bb/UTG/allin/SB/fold,BB,AcKh,call,3,3,"['call', 'fold']",113.0
93,BTN/2.5bb/BB/13.0bb,BTN,Ac4s,fold,2,2,"['allin', '27.0bb', 'call', 'fold']",16.0
94,UTG/2.0bb/HJ/6.5bb/BTN/14.0bb/BB/allin,UTG,9s9c,fold,4,4,"['call', 'fold']",123.0
95,HJ/2.0bb/CO/call/SB/13.0bb/BB/call/HJ/fold/CO/allin,SB,KdJd,call,4,3,"['call', 'fold']",128.0
96,HJ/2.0bb/CO/call/BTN/call/SB/call/BB/16.0bb/HJ/fold/CO/allin/BTN/fold/SB/fold,BB,QsQc,call,5,3,"['call', 'fold']",122.0
97,HJ/2.0bb/BTN/call,SB,AdQs,13.0bb,3,1,"['13.0bb', 'fold']",5.5
98,,UTG,KcJc,2.0bb,1,0,"['2.0bb', 'fold']",1.5
99,UTG/2.0bb/BTN/call/SB/call/BB/14.0bb/UTG/fold/BTN/27.0bb/SB/fold/BB/allin,BTN,KdQd,fold,4,4,['fold'],131.0
100,SB/3.0bb/BB/10.0bb/SB/allin,BB,AdAc,call,2,3,"['call', 'fold']",110.0
101,UTG/2.0bb/CO/call/BTN/9.5bb/BB/24.0bb/UTG/call/CO/allin,BTN,AhAc,call,4,4,"['call', 'fold']",158.0
102,UTG/2.0bb/HJ/6.5bb/BTN/14.0bb/BB/allin,UTG,Qd8d,fold,4,4,"['call', 'fold']",123.0
103,HJ/2.0bb/SB/11.0bb,BB,7h4h,fold,3,2,"['23.0bb', 'allin', 'fold']",14.0
104,HJ/2.0bb/BTN/call/BB/13.5bb/HJ/fold/BTN/26.2bb,BB,Ac5c,call,3,3,"['allin', 'call', 'fold']",42.2
105,CO/2.3bb/SB/allin,BB,5d4d,call,3,2,"['call', 'fold']",103.3
106,CO/2.3bb/BTN/allin,SB,8c4c,fold,3,2,"['call', 'fold']",103.8
107,HJ/2.0bb/SB/11.0bb,HJ,8h8d,fold,2,2,"['22.0bb', 'allin', 'call', 'fold']",14.0
108,HJ/2.0bb/CO/call/BTN/9.5bb/SB/allin,BB,6h6c,fold,5,3,"['call', 'fold']",114.5
109,HJ/2.0bb/SB/call,BB,AdKs,11.0bb,3,1,"['11.0bb', 'fold']",5.0
110,UTG/2.0bb/BTN/call/SB/13.0bb/UTG/call/BTN/41.0bb/SB/fold,UTG,5h5c,fold,3,3,['fold'],68.0
111,CO/2.3bb/BTN/call/SB/call,BB,AhJh,14.0bb,4,1,"['14.0bb', 'fold']",7.899999999999999
112,HJ/2.0bb/CO/6.5bb/BB/17.5bb,HJ,AsQs,fold,3,3,"['allin', '33.9bb', 'fold']",26.5
113,UTG/2.0bb/CO/call/BTN/call/SB/15.0bb/BB/30.0bb/UTG/fold/CO/allin/BTN/fold,SB,8h8c,fold,5,4,"['call', 'fold']",149.0
114,BTN/2.5bb/SB/allin,BTN,9h6h,fold,2,2,"['call', 'fold']",103.5
115,UTG/2.0bb/HJ/6.5bb/CO/14.0bb/BTN/allin/UTG/fold,HJ,KsJs,fold,4,4,"['call', 'fold']",124.0
116,UTG/2.0bb/BTN/call/SB/call/BB/14.0bb/UTG/call/BTN/allin/SB/fold,BB,KsQd,fold,4,3,"['call', 'fold']",130.0
117,HJ/2.0bb/BTN/call/SB/call/BB/14.5bb/HJ/28.0bb/BTN/call/SB/call/BB/allin,HJ,AsAd,call,4,4,"['call', 'fold']",184.0
118,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/34.0bb/CO/fold/BTN/call/SB/allin,BB,KcJc,call,5,4,"['call', 'fold']",185.0
119,SB/call,BB,Jd4d,check,2,0,"['5.0bb', '3.0bb', 'check', 'fold']",1.0
120,BTN/2.5bb/SB/12.0bb/BTN/allin,SB,AdQc,call,2,3,"['call', 'fold']",113.0
121,CO/allin,BB,KhKc,call,2,1,"['call', 'fold']",101.5
122,UTG/2.0bb/CO/call/BTN/call/SB/15.0bb/BB/call/UTG/allin/CO/fold/BTN/fold,SB,QhQc,call,5,3,"['call', 'fold']",134.0
123,UTG/2.0bb/BTN/call,BB,KcQd,14.0bb,3,1,"['14.0bb', 'fold']",5.5
124,UTG/2.0bb/CO/call/BTN/9.5bb/BB/24.0bb/UTG/call/CO/allin,BTN,8s8d,fold,4,4,"['call', 'fold']",158.0
125,CO/2.3bb/BTN/call/BB/allin,CO,AhKc,call,3,2,"['call', 'fold']",105.1
126,CO/2.3bb/BTN/call/BB/14.0bb,CO,Ks5s,fold,3,2,"['31.0bb', 'call', 'fold']",19.1
127,CO/2.3bb/BTN/7.5bb/SB/21.0bb/BB/call/CO/call/BTN/allin,SB,AhJh,fold,4,4,"['call', 'fold']",163.0
128,UTG/2.0bb/HJ/6.5bb/CO/14.0bb/BB/26.0bb,UTG,As3s,fold,4,4,"['allin', 'fold']",49.0
129,CO/2.3bb/BTN/call/SB/12.5bb/CO/26.0bb,BTN,AcTc,fold,3,3,['fold'],41.8
130,SB/call,BB,Kh3h,check,2,0,"['5.0bb', '3.0bb', 'check', 'fold']",1.0
131,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/34.0bb/CO/fold,BTN,Ac8c,fold,5,3,['fold'],55.0
132,UTG/2.0bb/BTN/7.5bb/UTG/20.0bb/BTN/34.0bb/UTG/allin,BTN,KhJh,fold,2,5,['fold'],135.5
133,BTN/2.5bb/SB/call/BB/11.0bb/BTN/fold/SB/26.0bb,BB,6h5h,fold,3,3,"['call', 'fold']",39.5
134,HJ/2.0bb/BTN/call/SB/13.0bb/BB/25.0bb/HJ/call/BTN/allin,SB,KsKc,call,4,4,"['call', 'fold']",163.0
135,UTG/2.0bb/BTN/7.5bb/SB/20.0bb/BB/call/UTG/allin/BTN/fold,SB,AsAd,call,4,4,"['call', 'fold']",147.5
136,UTG/2.0bb/CO/call/SB/call/BB/14.0bb/UTG/allin/CO/fold,SB,2s2c,fold,4,3,['fold'],118.0
137,,CO,Qh7h,2.3bb,1,0,"['2.3bb', 'fold']",1.5
138,HJ/2.0bb/BTN/call/SB/13.0bb/BB/25.0bb/HJ/call/BTN/allin/SB/fold,BB,AdAc,call,4,4,"['call', 'fold']",163.0
139,UTG/2.0bb/CO/call/BTN/call/SB/15.0bb/UTG/fold/CO/fold/BTN/allin,SB,AcKh,call,4,3,"['call', 'fold']",120.0
140,UTG/2.0bb/HJ/6.5bb/CO/14.0bb/UTG/29.0bb,HJ,AsJs,fold,3,4,"['allin', 'fold']",51.0
141,UTG/2.0bb/CO/call/BTN/call/BB/14.0bb/UTG/fold/CO/fold/BTN/allin,BB,AdKc,call,4,3,"['call', 'fold']",118.5
142,HJ/2.0bb/CO/call,SB,KsQc,13.0bb,3,1,"['13.0bb', 'fold']",5.5
143,UTG/2.0bb/CO/call/BTN/9.5bb/SB/23.0bb/UTG/fold/CO/call/BTN/allin,SB,AhAd,call,4,4,"['call', 'fold']",149.0
144,HJ/2.0bb/CO/call/BTN/9.5bb/BB/24.3bb/HJ/call/CO/allin,BTN,AhAc,call,4,4,"['call', 'fold']",158.6
145,HJ/2.0bb/CO/call/BTN/call/SB/15.0bb/HJ/29.6bb/CO/fold/BTN/call,SB,KhQd,fold,4,3,"['allin', 'fold']",77.2
146,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/call/CO/call/BTN/fold/SB/allin/BB/fold,UTG,AcKs,call,5,3,"['call', 'fold']",147.0
147,HJ/2.0bb/BTN/call/SB/13.0bb,BB,Td9c,fold,4,2,"['25.0bb', 'allin', 'fold']",18.0
148,SB/3.0bb/BB/10.0bb/SB/allin,BB,QsQc,call,2,3,"['call', 'fold']",110.0
149,HJ/2.0bb/SB/11.0bb,BB,Ts9d,fold,3,2,"['23.0bb', 'allin', 'fold']",14.0
150,CO/2.3bb/BTN/call/SB/12.5bb/BB/call/CO/allin,BTN,KsJs,fold,4,3,['fold'],127.3
151,SB/call/BB/5.0bb/SB/allin,BB,JhJd,call,2,2,"['call', 'fold']",105.0
152,HJ/2.0bb/BTN/call/BB/allin,HJ,Ac6c,fold,3,2,"['call', 'fold']",104.5
153,CO/2.3bb/BTN/call/SB/call/BB/14.0bb/CO/fold/BTN/31.0bb/SB/allin,BB,KsQd,call,4,4,"['call', 'fold']",147.3
154,UTG/2.0bb/BTN/7.5bb/SB/20.0bb/BB/call/UTG/fold/BTN/allin/SB/fold,BB,AhAd,fold,4,4,['fold'],142.0
155,UTG/2.0bb/HJ/6.5bb,BTN,Tc9s,fold,3,2,"['14.0bb', 'fold']",10.0
156,UTG/2.0bb/BTN/call/SB/call/BB/14.0bb/UTG/fold/BTN/fold/SB/allin,BB,AdKh,call,4,3,"['call', 'fold']",118.0
157,,HJ,9c8c,2.0bb,1,0,"['2.0bb', 'fold']",1.5
158,UTG/2.0bb/CO/call/BTN/9.5bb/BB/24.0bb/UTG/fold/CO/fold,BTN,AhKd,call,4,3,"['allin', 'call', 'fold']",38.0
159,BTN/2.5bb,BB,KcTd,call,2,1,"['call', '13.0bb', 'fold']",4.0
160,UTG/2.0bb/HJ/6.5bb/CO/14.0bb/BTN/25.0bb/UTG/fold/HJ/fold,CO,KhKd,call,4,4,"['allin', 'call', 'fold']",49.0
161,CO/2.3bb/SB/allin,CO,AsKc,call,2,2,"['call', 'fold']",103.3
162,UTG/2.0bb,HJ,KcQc,6.5bb,2,1,"['6.5bb', 'fold']",3.5
163,HJ/2.0bb/CO/6.5bb/SB/17.5bb/BB/35.0bb,HJ,7s7d,fold,4,4,"['allin', 'fold']",61.0
164,BTN/2.5bb/SB/call/BB/11.0bb,BTN,AdAc,23.0bb,3,2,"['23.0bb', 'call', 'fold']",16.0
165,UTG/2.0bb/BTN/call/SB/13.0bb/UTG/24.0bb/BTN/allin,SB,KcQc,fold,3,4,"['call', 'fold']",138.0
166,CO/2.3bb/BTN/7.5bb/SB/21.0bb/CO/fold,BTN,Ks9s,fold,3,3,"['allin', 'call', 'fold']",31.8
167,UTG/2.0bb/CO/call/BTN/call/BB/14.0bb/UTG/call/CO/call,BTN,Ah3h,fold,4,2,['fold'],44.5
168,SB/3.0bb/BB/10.0bb,SB,Kc8h,fold,2,2,"['21.0bb', 'allin', 'call', 'fold']",13.0
169,HJ/allin,BTN,Th9s,fold,2,1,"['call', 'fold']",101.5
170,CO/2.3bb/BTN/call/SB/12.5bb/BB/allin,CO,AsAd,call,4,3,"['call', 'fold']",117.1
171,BTN/allin,BB,AhAd,call,2,1,"['call', 'fold']",101.5
172,,BTN,6h6d,2.5bb,1,0,"['2.5bb', 'fold']",1.5
173,HJ/2.0bb/CO/6.5bb/BTN/13.1bb/HJ/24.0bb/CO/fold,BTN,QsQc,call,3,4,"['call', 'fold']",45.1
174,HJ/2.0bb,SB,KsJd,fold,2,1,"['call', '11.0bb', 'fold']",3.5
175,UTG/2.0bb/HJ/6.5bb/CO/14.0bb,SB,9d4d,fold,4,3,"['allin', 'fold']",24.0
176,CO/2.3bb/BTN/call/BB/14.0bb/CO/allin/BTN/fold,BB,AhKs,call,3,3,"['call', 'fold']",116.8
177,HJ/2.0bb/CO/call/BTN/call/SB/15.0bb/BB/30.1bb/HJ/call/CO/call/BTN/allin,SB,QhJh,call,5,4,"['call', 'fold']",205.3
178,,BTN,8s8h,2.5bb,1,0,"['2.5bb', 'fold']",1.5
179,UTG/2.0bb/CO/6.5bb/BTN/13.0bb/SB/allin/UTG/fold/CO/fold,BTN,KsKh,call,4,4,"['call', 'fold']",122.5
180,UTG/2.0bb/CO/call/SB/allin,BB,QdTd,fold,4,2,"['call', 'fold']",105.0
181,HJ/2.0bb/CO/call/BTN/call/BB/allin,HJ,QcTd,fold,4,2,"['call', 'fold']",106.5
182,HJ/2.0bb/CO/call/SB/call/BB/allin,HJ,JdJc,call,4,2,"['call', 'fold']",106.0
183,HJ/2.0bb/CO/6.5bb/BTN/13.1bb/HJ/24.0bb/CO/fold,BTN,AhAc,call,3,4,"['call', 'fold']",45.1
184,UTG/2.0bb/HJ/6.5bb/CO/14.0bb/BB/26.0bb/UTG/fold,HJ,AdQh,fold,4,4,"['allin', 'fold']",49.0
185,BTN/2.5bb/SB/call/BB/11.0bb/BTN/23.0bb/SB/fold/BB/allin,BTN,Tc9c,fold,3,4,"['call', 'fold']",125.5
186,CO/2.3bb/BTN/allin,SB,AsKc,call,3,2,"['call', 'fold']",103.8
187,HJ/2.0bb/CO/call/BTN/call/SB/15.0bb/BB/30.1bb/HJ/fold/CO/call/BTN/fold,SB,7h7c,fold,5,3,"['allin', 'fold']",79.2
188,UTG/2.0bb/BTN/call/SB/13.0bb/BB/call/UTG/call/BTN/allin,SB,QsQd,call,4,3,"['call', 'fold']",139.0
189,HJ/2.0bb/CO/allin,HJ,KhJd,fold,2,2,"['call', 'fold']",103.5
190,HJ/2.0bb/BTN/call/SB/13.0bb/BB/25.0bb/HJ/call,BTN,5s5d,fold,4,3,['fold'],65.0
191,SB/3.0bb,BB,As8d,call,2,1,"['call', '10.0bb', 'fold']",4.0
192,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/fold/CO/allin,BTN,AcQs,fold,5,3,"['call', 'fold']",121.0
193,UTG/2.0bb/HJ/6.5bb/BTN/14.0bb/BB/26.0bb/UTG/fold/HJ/fold,BTN,KsKc,call,4,4,"['call', 'fold']",49.0
194,HJ/2.0bb/CO/call/SB/13.0bb/BB/call/HJ/fold,CO,Ad4d,fold,4,2,['fold'],30.0
195,UTG/2.0bb/CO/call/BTN/9.5bb/SB/allin/UTG/fold/CO/fold,BTN,QhQd,call,4,3,"['call', 'fold']",114.5
196,UTG/2.0bb/CO/6.5bb/SB/18.0bb,BB,9h3h,fold,4,3,"['33.0bb', 'fold']",27.5
197,CO/2.3bb/BB/allin,CO,Ts7s,fold,2,2,"['call', 'fold']",102.8
198,HJ/2.0bb/SB/call/BB/11.0bb/HJ/call,SB,KhQc,fold,3,2,"['allin', 'fold']",24.0
199,HJ/2.0bb/BTN/7.5bb/HJ/20.0bb/BTN/33.3bb,HJ,JsJd,call,2,4,"['allin', 'call', 'fold']",54.8
200,UTG/2.0bb/CO/allin,BTN,KsKc,call,3,2,"['call', 'fold']",103.5
201,,HJ,JsJh,2.0bb,1,0,"['2.0bb', 'fold']",1.5
202,UTG/2.0bb/CO/call/BTN/call/SB/call/BB/15.0bb/UTG/fold/CO/34.0bb/BTN/fold/SB/call,BB,AcJc,fold,5,3,"['allin', 'fold']",87.0
203,UTG/2.0bb/BTN/call/SB/call,BB,QhQd,14.0bb,4,1,"['14.0bb', 'fold']",7.0
204,UTG/2.0bb/CO/6.5bb/BTN/allin,SB,9d9c,fold,4,3,"['call', 'fold']",110.0
205,UTG/2.0bb/CO/6.5bb/BTN/13.0bb/BB/24.0bb/UTG/allin/CO/fold,BTN,AhAc,call,4,5,"['call', 'fold']",144.0
206,HJ/2.0bb/CO/call/BTN/9.5bb/SB/call/BB/call/HJ/fold/CO/allin,BTN,AhQh,call,5,3,"['call', 'fold']",130.5
